ticker,company_name,sector,market_cap_category,has_market_cap,has_annual_financials,deactivated_on
BANKBETF,,,,FALSE,FALSE,2026-04-30
BANKETF,,,,FALSE,FALSE,2026-04-30
BANKIETF,,,,FALSE,FALSE,2026-04-30
BANKNIFTY1,,Financial Services,,FALSE,FALSE,2026-04-30
BANKNIFTY1.BO,Kotak Mahindra Mutual Fund - P,,,FALSE,FALSE,2026-04-30
BANKPSU,,Financial Services,,FALSE,FALSE,2026-04-30
BANKPSU.BO,Mirae Asset Mutual Fund,,,FALSE,FALSE,2026-04-30
BAPACK,B&A PACKAGING INDIA LIMITED,,,FALSE,FALSE,2026-04-30
BARBEQUE,,,,FALSE,FALSE,2026-04-30
BARFLEX,,,,FALSE,FALSE,2026-04-30
BARODARY,BARODA RAYON CORPORATION LTD.,,,FALSE,FALSE,2026-04-30
BAROEXT,BARODA EXTRUSION LTD.,,,FALSE,FALSE,2026-04-30
BASANTGL,BASANT AGRO TECH (INDIA) LTD.,,,FALSE,FALSE,2026-04-30
BASILIC,,,,FALSE,FALSE,2026-04-30
BATLIBOI,Batliboi Limited,Capital Goods,,FALSE,TRUE,2026-04-30
BAWEJA,,,,FALSE,FALSE,2026-04-30
BAZELINTER,Bazel International Limited,,,FALSE,FALSE,2026-04-30
BBNPNBETF,,,,FALSE,FALSE,2026-04-30
BBNPPGOLD,,Financial Services,,FALSE,FALSE,2026-04-30
BCCFUBA,BCC FUBA INDIA LTD.,,,FALSE,FALSE,2026-04-30
BCCPP,BCC Fuba India Ltd.,,,FALSE,FALSE,2026-04-30
BCP,,Industrials,,FALSE,TRUE,2026-04-30
BCP.BO,B.C. POWER CONTROLS LTD,,,FALSE,FALSE,2026-04-30
BDH,BDH INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
BEACON,,,,FALSE,FALSE,2026-04-30
BEEKAY,Beekay Steel Industries Limited,Capital Goods,,FALSE,FALSE,2026-04-30
BEFOUNDMOL,BEFOUND MOVEMENT LIMITED,,,FALSE,FALSE,2026-04-30
BEMHY,BEMCO HYDRAULICS LTD.,,,FALSE,FALSE,2026-04-30
BENARAS,BENARES HOTELS LTD.,,,FALSE,FALSE,2026-04-30
BENGALASM,Bengal & Assam Company Limited,Financial Services,,FALSE,FALSE,2026-04-30
BENGALT,BENGAL TEA & FABRICS LTD.,,,FALSE,FALSE,2026-04-30
BERVINL,BERVIN INVESTMENT & LEASING LT,,,FALSE,FALSE,2026-04-30
BESTEAST,BEST EASTERN HOTELS LTD.,,,FALSE,FALSE,2026-04-30
BEWLTD,,,,FALSE,FALSE,2026-04-30
BFLAFL,BFL Asset Finvest Limited,,,FALSE,FALSE,2026-04-30
BFSI,,Financial Services,,FALSE,FALSE,2026-04-30
BFSI.BO,Mirae Asset Mutual Fund,,,FALSE,FALSE,2026-04-30
BGDL,BHARAT GLOBAL DEVELOPERS LIMIT,,,FALSE,FALSE,2026-04-30
BGIL,BGIL FILMS & TECHNOLOGIES LTD.,,,FALSE,FALSE,2026-04-30
BGWTATO,BHAGWATI AUTOCAST LTD.,,,FALSE,FALSE,2026-04-30
BHADORA,,,,FALSE,FALSE,2026-04-30
BHAGWOX,BHAGWATI OXYGEN LTD.,,,FALSE,FALSE,2026-04-30
BHAGYAPROP,,Services,,FALSE,TRUE,2026-04-30
BHARAT,Bharat Bhushan Finance & Commo,,,FALSE,FALSE,2026-04-30
BHARATAGRI,BHARAT AGRI FERT & REALTY LTD.,,,FALSE,FALSE,2026-04-30
BHARATCOAL,Bharat Coking Coal Limited,Basic Materials,,FALSE,TRUE,2026-04-30
BHATIA,Bhatia Communications & Retail,,,FALSE,FALSE,2026-04-30
BHILSPIN,BHILWARA SPINNERS LTD.,,,FALSE,FALSE,2026-04-30
BI,Bilcare Limited,Healthcare,,FALSE,FALSE,2026-04-30
BIBCL,BHARAT IMMUNOLOGICALS & BIOLOG,,,FALSE,FALSE,2026-04-30
BIKEWO,,,,FALSE,FALSE,2026-04-30
BIMETAL,Bimetal Bearings Limited,AUTOMOBILE,,FALSE,TRUE,2026-04-30
BINANIIND,,,,FALSE,FALSE,2026-04-30
